Title,Body,Labels,Due Date,Effort,Hours Planned
W01 – JS #1: Workload – subjective,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:workload",2026-03-01,S,2.0
W01 – JS #2: Workload – physiological/performance,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:workload",2026-03-01,S,2.0
W01 – Major Artifact Progress: Workload Review v1 build,Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:review-article,topic:workload",2026-03-01,M,4.0
W01 – Standards Dossier Progress,"MIL-STD-1472 visual legibility dossier: clause insertion, RQs, evidence extraction, classification, MoC implications.","artifact:standards-dossier,std:mil-std-1472,topic:legibility,phase:draft",2026-03-01,M,3.0
W01 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-03-01,XS,1.0
W02 – JS #3: Workload – subjective,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:workload",2026-03-08,S,2.0
W02 – JS #4: Workload – physiological/performance,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:workload",2026-03-08,S,2.0
W02 – Major Artifact Progress: Workload Review v1 build,Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:review-article,topic:workload",2026-03-08,M,4.0
W02 – Standards Dossier Progress,"MIL-STD-1472 visual legibility dossier: clause insertion, RQs, evidence extraction, classification, MoC implications.","artifact:standards-dossier,std:mil-std-1472,topic:legibility,phase:draft",2026-03-08,M,3.0
W02 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-03-08,XS,1.0
W03 – JS #5: Workload – subjective,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:workload",2026-03-15,S,2.0
W03 – JS #6: Workload – physiological/performance,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:workload",2026-03-15,S,2.0
W03 – Major Artifact Progress: Workload Review v1 build,Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:review-article,topic:workload",2026-03-15,M,4.0
W03 – Standards Dossier Progress,"MIL-STD-1472 visual legibility dossier: clause insertion, RQs, evidence extraction, classification, MoC implications.","artifact:standards-dossier,std:mil-std-1472,topic:legibility,phase:draft",2026-03-15,M,3.0
W03 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-03-15,XS,1.0
W04 – JS #7: Workload – subjective,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:workload",2026-03-22,S,2.0
W04 – JS #8: Workload – physiological/performance,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:workload",2026-03-22,S,2.0
W04 – Major Artifact Progress: Workload Review v1 build,Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:review-article,topic:workload",2026-03-22,M,4.0
W04 – Standards Dossier Progress,"MIL-STD-1472 visual legibility dossier: clause insertion, RQs, evidence extraction, classification, MoC implications.","artifact:standards-dossier,std:mil-std-1472,topic:legibility,phase:draft",2026-03-22,M,3.0
W04 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-03-22,XS,1.0
W05 – JS #9: Workload – methods comparison,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:workload",2026-03-29,S,2.0
W05 – JS #10: Workload – environment sensitivity,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:workload",2026-03-29,S,2.0
W05 – Major Artifact Progress: Workload Systematic Review build,Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:systematic-review,topic:workload",2026-03-29,M,4.0
W05 – Standards Dossier Progress,MIL-STD-1472 clutter/grouping or related display dossier progress aligned to workload systematic review.,"artifact:standards-dossier,std:mil-std-1472,topic:situational-awareness,phase:draft",2026-03-29,M,3.0
W05 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-03-29,XS,1.0
W06 – JS #11: Workload – methods comparison,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:workload",2026-04-05,S,2.0
W06 – JS #12: Workload – environment sensitivity,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:workload",2026-04-05,S,2.0
W06 – Major Artifact Progress: Workload Systematic Review build,Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:systematic-review,topic:workload",2026-04-05,M,4.0
W06 – Standards Dossier Progress,MIL-STD-1472 clutter/grouping or related display dossier progress aligned to workload systematic review.,"artifact:standards-dossier,std:mil-std-1472,topic:situational-awareness,phase:draft",2026-04-05,M,3.0
W06 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-04-05,XS,1.0
W07 – JS #13: Workload – methods comparison,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:workload",2026-04-12,S,2.0
W07 – JS #14: Workload – environment sensitivity,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:workload",2026-04-12,S,2.0
W07 – Major Artifact Progress: Workload Systematic Review build,Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:systematic-review,topic:workload",2026-04-12,M,4.0
W07 – Standards Dossier Progress,MIL-STD-1472 clutter/grouping or related display dossier progress aligned to workload systematic review.,"artifact:standards-dossier,std:mil-std-1472,topic:situational-awareness,phase:draft",2026-04-12,M,3.0
W07 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-04-12,XS,1.0
W08 – JS #15: Workload – methods comparison,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:workload",2026-04-19,S,2.0
W08 – JS #16: Workload – environment sensitivity,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:workload",2026-04-19,S,2.0
W08 – Major Artifact Progress: Workload Systematic Review build,Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:systematic-review,topic:workload",2026-04-19,M,4.0
W08 – Standards Dossier Progress,MIL-STD-1472 clutter/grouping or related display dossier progress aligned to workload systematic review.,"artifact:standards-dossier,std:mil-std-1472,topic:situational-awareness,phase:draft",2026-04-19,M,3.0
W08 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-04-19,XS,1.0
W09 – JS #17: SA – measurement (SAGAT/SPAM/etc.),"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:situational-awareness",2026-04-26,S,2.0
W09 – JS #18: SA – degradation under workload/stress,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:situational-awareness",2026-04-26,S,2.0
W09 – Major Artifact Progress: SA Review v1 build,Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:review-article,topic:situational-awareness",2026-04-26,M,4.0
W09 – Standards Dossier Progress,MIL-STD-1472 NVIS/luminance or display integration dossier progress aligned to SA.,"artifact:standards-dossier,std:mil-std-1472,topic:legibility,phase:draft",2026-04-26,M,3.0
W09 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-04-26,XS,1.0
W10 – JS #19: SA – measurement (SAGAT/SPAM/etc.),"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:situational-awareness",2026-05-03,S,2.0
W10 – JS #20: SA – degradation under workload/stress,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:situational-awareness",2026-05-03,S,2.0
W10 – Major Artifact Progress: SA Review v1 build,Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:review-article,topic:situational-awareness",2026-05-03,M,4.0
W10 – Standards Dossier Progress,MIL-STD-1472 NVIS/luminance or display integration dossier progress aligned to SA.,"artifact:standards-dossier,std:mil-std-1472,topic:legibility,phase:draft",2026-05-03,M,3.0
W10 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-05-03,XS,1.0
W11 – JS #21: SA – measurement (SAGAT/SPAM/etc.),"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:situational-awareness",2026-05-10,S,2.0
W11 – JS #22: SA – degradation under workload/stress,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:situational-awareness",2026-05-10,S,2.0
W11 – Major Artifact Progress: SA Review v1 build,Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:review-article,topic:situational-awareness",2026-05-10,M,4.0
W11 – Standards Dossier Progress,MIL-STD-1472 NVIS/luminance or display integration dossier progress aligned to SA.,"artifact:standards-dossier,std:mil-std-1472,topic:legibility,phase:draft",2026-05-10,M,3.0
W11 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-05-10,XS,1.0
W12 – JS #23: SA – measurement (SAGAT/SPAM/etc.),"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:situational-awareness",2026-05-17,S,2.0
W12 – JS #24: SA – degradation under workload/stress,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:situational-awareness",2026-05-17,S,2.0
W12 – Major Artifact Progress: SA Review v1 build,Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:review-article,topic:situational-awareness",2026-05-17,M,4.0
W12 – Standards Dossier Progress,MIL-STD-1472 NVIS/luminance or display integration dossier progress aligned to SA.,"artifact:standards-dossier,std:mil-std-1472,topic:legibility,phase:draft",2026-05-17,M,3.0
W12 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-05-17,XS,1.0
W13 – JS #25: Airworthiness/verification method study,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:verification",2026-05-24,S,2.0
W13 – JS #26: MoC or test-fidelity study,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:verification",2026-05-24,S,2.0
W13 – Major Artifact Progress: Airworthiness Framework v1 build,Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:framework,topic:verification",2026-05-24,M,4.0
W13 – Standards Dossier Progress,MIL-STD-1472 controls/anthropometry or alerting dossier progress aligned to framework.,"artifact:standards-dossier,std:mil-std-1472,topic:anthropometry,phase:draft",2026-05-24,M,3.0
W13 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-05-24,XS,1.0
W14 – JS #27: Airworthiness/verification method study,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:verification",2026-05-31,S,2.0
W14 – JS #28: MoC or test-fidelity study,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:verification",2026-05-31,S,2.0
W14 – Major Artifact Progress: Airworthiness Framework v1 build,Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:framework,topic:verification",2026-05-31,M,4.0
W14 – Standards Dossier Progress,MIL-STD-1472 controls/anthropometry or alerting dossier progress aligned to framework.,"artifact:standards-dossier,std:mil-std-1472,topic:anthropometry,phase:draft",2026-05-31,M,3.0
W14 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-05-31,XS,1.0
W15 – JS #29: Airworthiness/verification method study,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:verification",2026-06-07,S,2.0
W15 – JS #30: MoC or test-fidelity study,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:verification",2026-06-07,S,2.0
W15 – Major Artifact Progress: Airworthiness Framework v1 build,Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:framework,topic:verification",2026-06-07,M,4.0
W15 – Standards Dossier Progress,MIL-STD-1472 controls/anthropometry or alerting dossier progress aligned to framework.,"artifact:standards-dossier,std:mil-std-1472,topic:anthropometry,phase:draft",2026-06-07,M,3.0
W15 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-06-07,XS,1.0
W16 – JS #31: Airworthiness/verification method study,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:verification",2026-06-14,S,2.0
W16 – JS #32: MoC or test-fidelity study,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:verification",2026-06-14,S,2.0
W16 – Major Artifact Progress: Airworthiness Framework v1 build,Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:framework,topic:verification",2026-06-14,M,4.0
W16 – Standards Dossier Progress,MIL-STD-1472 controls/anthropometry or alerting dossier progress aligned to framework.,"artifact:standards-dossier,std:mil-std-1472,topic:anthropometry,phase:draft",2026-06-14,M,3.0
W16 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-06-14,XS,1.0
W17 – JS #33: Airworthiness/verification method study,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:verification",2026-06-21,S,2.0
W17 – JS #34: MoC or test-fidelity study,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:verification",2026-06-21,S,2.0
W17 – Major Artifact Progress: Airworthiness Framework v1 build,Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:framework,topic:verification",2026-06-21,M,4.0
W17 – Standards Dossier Progress,MIL-STD-1472 controls/anthropometry or alerting dossier progress aligned to framework.,"artifact:standards-dossier,std:mil-std-1472,topic:anthropometry,phase:draft",2026-06-21,M,3.0
W17 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-06-21,XS,1.0
W18 – JS #35: MIL-STD-1472 clause-related empirical study A,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,std:mil-std-1472",2026-06-28,S,2.0
W18 – JS #36: MIL-STD-1472 clause-related empirical study B,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,std:mil-std-1472",2026-06-28,S,2.0
W18 – Major Artifact Progress: MIL-STD-1472 dossier production,Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:review-article,topic:verification",2026-06-28,M,4.0
W18 – Standards Dossier Progress,Complete one MIL-STD-1472 clause-cluster dossier. Update compiler and crosswalk.,"artifact:standards-dossier,std:mil-std-1472,phase:draft",2026-06-28,M,3.0
W18 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-06-28,XS,1.0
W19 – JS #37: MIL-STD-1472 clause-related empirical study A,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,std:mil-std-1472",2026-07-05,S,2.0
W19 – JS #38: MIL-STD-1472 clause-related empirical study B,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,std:mil-std-1472",2026-07-05,S,2.0
W19 – Major Artifact Progress: MIL-STD-1472 dossier production,Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:review-article,topic:verification",2026-07-05,M,4.0
W19 – Standards Dossier Progress,Complete one MIL-STD-1472 clause-cluster dossier. Update compiler and crosswalk.,"artifact:standards-dossier,std:mil-std-1472,phase:draft",2026-07-05,M,3.0
W19 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-07-05,XS,1.0
W20 – JS #39: MIL-STD-1472 clause-related empirical study A,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,std:mil-std-1472",2026-07-12,S,2.0
W20 – JS #40: MIL-STD-1472 clause-related empirical study B,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,std:mil-std-1472",2026-07-12,S,2.0
W20 – Major Artifact Progress: MIL-STD-1472 dossier production,Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:review-article,topic:verification",2026-07-12,M,4.0
W20 – Standards Dossier Progress,Complete one MIL-STD-1472 clause-cluster dossier. Update compiler and crosswalk.,"artifact:standards-dossier,std:mil-std-1472,phase:draft",2026-07-12,M,3.0
W20 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-07-12,XS,1.0
W21 – JS #41: MIL-STD-1472 clause-related empirical study A,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,std:mil-std-1472",2026-07-19,S,2.0
W21 – JS #42: MIL-STD-1472 clause-related empirical study B,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,std:mil-std-1472",2026-07-19,S,2.0
